,Date,Text,Tone,X Likes,X reposts,X followers,Impressions,Estimated reach,Queries,Compound_Sentiment_Score,Sentiment
42,29/05/2024 02:20:48,Hess shareholders said to approve $53B sale to Chevron #Stocks $HES $CVX ,neutral,0,0,2059,2059,164,Chevron,0.17051082756370306,neutral
43,29/05/2024 02:13:33,"@TonyClimate I used to do work in oil industry, mostly as software dev. I worked w/a completions engineer at Chevron who was convinced that oil was abiotic. This was 2002-2005. Russians apparently pushed this idea.
I have yet to see a single reservoir that was discovered using that theory.",neutral,0,0,167,167,13,Chevron,-0.46088050305843353,neutral
44,29/05/2024 02:08:01,"@Kellyhasoneshoe @UH60Av8tor There will be a few more big decisions coming over the next few weeks.
Chevron deference and Presidential immunity are the two huge ones.
They're not trying to discredit Alito for nothing.
Also, Sonia Sotomayor's BS about crying is a sign.
Credit @barnes_law for this theory.",negative,2,0,503,503,40,Chevron,0.015470810234546661,neutral
45,29/05/2024 02:02:18,"This afternoon I went to the #CFSFamily convenience store @ Chevron, and they were playing #Rain🎵 by @briancrain a delightful surprise! #California",positive,1,0,887,887,70,Chevron,0.9784255452686921,positive
46,29/05/2024 01:51:39,Super Rare Yellow Black Chevron Trade Bead African Howard Collection V140 Bg54 #finance #ad ,neutral,0,0,255,255,20,Chevron,0.1687646135687828,neutral
48,29/05/2024 01:41:15,@Chevron This the facility south of Watkins?,neutral,0,0,75,75,6,Chevron,0.009088980033993721,neutral
49,29/05/2024 01:38:14,"@joeshoeth It’s fine that you and others hold a strong belief here, but it still exists and the matter is far from settled.
And like I mentioned, the final decision will be from a SCOTUS that will likely neuter Chevron altogether. 1/2",neutral,1,0,915,915,73,Chevron,-0.19052480161190033,neutral
50,29/05/2024 01:30:19,"BREAKING NEWS: Hess Corp. shareholders approved Chevron'S $53 billion takeover despite reservations among several prominent investors about a dispute with Exxon Mobil Corp. over a key asset #offshore #Guyana.
Read more: 
#oilandgas #mergersandacquisitions ",neutral,3,0,143154,143154,11452,Chevron,0.0752251036465168,neutral
51,29/05/2024 01:29:04,@Chevron my nudes in profile,neutral,0,0,0,0,0,Chevron,0.06291613355278969,neutral
52,29/05/2024 01:11:00,"$HES $CVX Hess Corporation receives stockholder approval for proposed merger with Chevron
 Hess today announced that it has received the necessary approval of its stockholders for closing the company’s merger with Chevron Corporation. At the special meeting of Hess stockholders…",neutral,32,4,297364,298568,23885,Chevron,0.3011766290292144,neutral
53,29/05/2024 01:07:55,California gas prices are higher than the national average and California Senate Bill (SB) X1-2 could create more pain at the pump. Here are the top 5️⃣ things to know:  ,negative,19,6,390196,392002,31360,Chevron,-0.7743157064542174,negative
54,29/05/2024 00:57:21,"@GOP Shell and BP: Made a combined profit of £75 billion 
•Chevron and ExxonMobil: Made a combined profit of $136 billion",positive,0,0,2163,2163,173,Chevron,-0.08414365351200104,neutral
55,29/05/2024 00:55:45,@elaifresh the radical woke left would be seething if people started boycotting Chevron,neutral,2,0,113,113,9,Chevron,-0.695161959156394,negative
56,29/05/2024 00:50:46,Hess Investors Vote in Favor of $53 Billion Chevron Takeover ,neutral,0,0,10145,10145,811,Chevron,0.22443163488060236,neutral
57,29/05/2024 00:38:28, #worldnew #usnews #nola #business #entertainment #health #oddities #photography #science #tech #video,neutral,3,0,1026,1026,82,Chevron,0.1261475970968604,neutral
58,29/05/2024 00:37:08,"Trump's ""hush money"" trial heats up with final arguments in NY, drama spills outside the courtroom 🏛️🔥. Meanwhile, a $53B Chevron-Hess merger shakes up the oil industry 💼🛢️. Legal battles redefine power dynamics! #TrumpTrial #CorporateDrama",neutral,0,0,22,22,1,Chevron,-0.2273891195654869,neutral
59,28/05/2024 23:52:00,"@fakegreekgrill Pfft, Chevron, gtfo. I only buy unrefined gasoline.",neutral,1,0,348,348,27,Chevron,-0.8000362329185009,negative
60,28/05/2024 22:15:10,@exxonmobil @Shell @bp_plc @Chevron @TotalEnergies @aramco have you read this article by the UK's former Chief Scientist? Wanna throw some cash at the most important challenge facing humanity? You got us into this. Please help us out 🙏,neutral,0,0,1454,1454,116,Chevron,0.3780398443341255,neutral
61,28/05/2024 13:18:53,"For more information and to apply visit:
 ",neutral,1,0,1814,1814,145,Chevron,0.10010847449302673,neutral
62,28/05/2024 00:41:05,"New Research Exposes Countries and Companies Supplying the Oil Fueling Palestinian Genocide  via @priceofoil "" BP, Chevron, ExxonMobil, Shell, Eni, and TotalEnergies, are...complicit in...projects supplying oil to Israel...""",neutral,0,0,1919,1919,153,Chevron,-0.7506238124333322,negative
63,27/05/2024 20:30:00,"2024 NNPC/Chevron Scholarship For Nigerians
Sponsor: NNPC | Shell Petroleum | TotalEnergies | Agip
Benefits:
⭐₦200,000 annually for the winners
Category: Undergraduate
Eligible: Nigeria
Deadline: June 28, 2024
APPLY↙️
",neutral,0,0,237590,237590,19007,Chevron,0.28813866153359413,neutral
64,27/05/2024 19:24:26,"With strong demand for oil and gas and tight supply, amid escalating geopolitical tensions and extensive production cuts by OPEC+, the energy sector is booming.
So investing in high-yield, fundamental sound energy stocks Chevron Corporation (CVX), TotalEnergies SE (TTE) and BP… ",positive,0,0,511,511,40,Chevron,0.756553421728313,positive
65,27/05/2024 19:08:44,#totalenergies #chevron #shellplc $CVX $TTE $CHEL Others it could be include #GALP $GLPEY #exxonmobil #XOM #qatarenergy,neutral,0,0,2,2,0,Chevron,0.12666290812194347,neutral
66,27/05/2024 19:07:32,"Oil Change International's new report ""Big Oil Reality Check report"" says BP, Chevron, ConocoPhillips, Eni, Equinor, ExxonMobil, Shell &amp; TotalEnergies plans will put world on track for over 2.4°C of global warming.
#Greenwashing 
 ",neutral,0,0,5915,5915,473,Chevron,-0.35241640359163284,neutral
67,27/05/2024 18:44:38,CVX: 3 High-Yield Energy #stocks for Smart Investors -  ,neutral,0,0,32501,32501,2600,Chevron,0.5803914410062134,positive
68,26/05/2024 16:28:32,"Things are looking up but still slow.
GDP results show the same.
",negative,0,0,330,330,26,Chevron,0.1415417343378067,neutral
69,26/05/2024 02:30:49,"Before throwing out your contacts, read the new analysis from @PriceofOil showing that NONE of the climate plans of the Big Oil 8 are compatible with climate stability (BP, Chevron, ConocoPhillips, Eni, Equinor, ExxonMobil, Shell, TotalEnergies). ",neutral,0,0,14629,14629,1170,Chevron,-0.6653687469661236,negative
70,25/05/2024 17:27:49,"Add to that who controls the oil prices
BP
Chevron
Eni
ExxonMobil
Shell
TotalEnergies
These companies generated a combined revenue of over $1.68 trillion.",neutral,0,0,1063,1063,85,Chevron,-0.16672594100236893,neutral
71,25/05/2024 15:53:46,"You must be really proud of your achievements, aren't you @aramco @ADNOCGroup @COP28_UAE @bp_plc @Shell @exxonmobil @Chevron @TotalEnergies
#climatecrises #carbontax #CodeRed #WW3 #Food #Flooding #Heat ",positive,0,0,308,308,24,Chevron,0.22221024334430695,neutral
73,25/05/2024 14:20:51,"@Ferdo76 @Barbes_NL @weermanreinier 😮‍💨 This 👆tweet is brought to you by misinformation, paid by Shell, Lukoil, Saudi Aramco, CPCC, Exxon, TotalEnergies, Russia, Saudi Arabia, Q8, Chevron, Venezuela, BP, Marathon and the Koch brothers…💰💰💰#MerchantsofDoubt",negative,0,0,672,672,53,Chevron,-0.3873652517795563,neutral
76,24/05/2024 11:38:00,"BP, CHEVRON, EXXON MOBIL, SHELL, TOTAL ENERGIES together had total profits of $195B a near 120% increase on the previous year & the highest level in industry history",positive,2,0,4579,4579,366,Chevron,0.801238676533103,positive
77,24/05/2024 10:22:11,The obscenely high profits of gas-oil companies must be used to innovate 100% Carbon Capture & Storage for gas-oil fired power plants worldwide. Very little of their gross profit is used to remediate collateral environmental damage & far too much goes into unprincipled pockets,negative,0,0,228,228,18,Chevron,-0.7677244041115046,negative
78,24/05/2024 08:15:49,"#FossilFuel psychopaths or the men who sold the world: Saudi Aranco,@exxonmobil,@Shell,BP,@Chevron,Adnoc,Peabody,Total,Kuwait Petroleum,Conoco Philips,BHP...
",neutral,1,1,1205,1506,120,Chevron,-0.8291512634605169,negative
79,24/05/2024 05:09:07,"Inflation: The slickest disguise for price gouging the working class 
#bigoil #shell #exxonmobil #chevron #bp #totalenergies #memes ",neutral,2,0,25057,25057,2004,Chevron,-0.6171779073774815,negative
80,23/05/2024 23:18:39,"@Chevron Greenwashing total BS.
Chevron Will Pay Record Fines for California Oil Spills — ProPublica",negative,0,0,38,38,3,Chevron,-0.872727457433939,negative
81,23/05/2024 22:36:32,"@senlokpobiri @officialABAT @OfficialNCDMB @OPECSecretariat @FMPRng @PBATMediaCentre always keep to about 3 to 5 brans for oil and gas .keep to US,Uk,Holland of chevron,Mobil,Agip,Shell or australia etc.dnt use Total or brazil firms",neutral,0,0,424,424,33,Chevron,-0.24560972303152084,neutral
82,23/05/2024 20:56:19,"World rides on #FossilFuels 
#oil business reaped almost $200 billion collectively last year but it could bé different in 2023  via @business",neutral,0,0,605,605,48,Chevron,0.1283125802874565,neutral
83,23/05/2024 17:31:00,"New report from @PriceofOil examines the (woefully inadequate) climate pledges & plans of 8 international oil and gas companies: @Chevron, @exxonmobil, @Shell, @TotalEnergies, @bp_plc, @eni, @Equinor, and @conocophillips #ClimateAccountability
",negative,6,2,73715,74317,5945,Chevron,-0.7590571930631995,negative
87,23/05/2024 10:14:19,"TotalEnergies is on the hunt for a jack-up rig to carry out development drilling duties Ntokon, a major shallow water oil project in Nigeria, while Chevron needs a deepwater rig to work on its big legacy Agbami field.
",neutral,0,0,213,213,17,Chevron,0.02815045416355133,neutral
88,23/05/2024 08:55:34,"@SecBlinken @EsperBionics Another US. corporation benefiting from the genocide in Ukraine, alongside In total, Shell, BP, Chevron, ExxonMobil and TotalEnergies have paid $200 billion to shareholders since the invasion of Ukraine, funnelling cash to investors as more than 10,000 Ukrainian civilians killed",negative,2,0,32,32,2,Chevron,-0.7215072717517614,negative
89,22/05/2024 20:08:34,"Top oil firms’ climate pledges failing on almost every metric, report finds
BP, Chevron, ConocoPhillips, Eni, Equinor, ExxonMobil, Shell and TotalEnergies – and found none were compatible with limiting global warming to 1.5C
",negative,1,0,36,36,2,Chevron,-0.7103269966319203,negative
91,22/05/2024 19:07:10,@Worley_ECR Worley's commitment to Bayou Bend CCS is inspiring! Excited to see the sustainable transformation in action. #Chevron #Equinor #TotalEnergies,positive,1,0,6,6,0,Chevron,0.9837735522305593,positive
93,22/05/2024 15:10:00,"TotalEnergies seeks a jack-up rig for Ntokon in Nigeria's shallow waters, while Chevron needs a deepwater rig for Agbami. These inquiries suggest growing investment momentum in Nigeria's oil sector despite challenges 
$TTE $CVX ",positive,4,0,11725,11725,938,Chevron,0.3693945147097111,neutral
94,22/05/2024 06:48:31,"The research and advocacy group Oil Change International examined climate plans from the eight largest US- and European-based international oil and gas producers – BP, Chevron, ConocoPhillips, Eni, Equinor, ExxonMobil, Shell and TotalEnergies. 1/2 
",neutral,0,0,218,218,17,Chevron,0.033209629356861115,neutral
95,22/05/2024 03:18:10,"Just 8 companies – @Chevron @exxonmobil @Shell @bp_plc @Equinor @eni @conocophillips and @TotalEnergies – threaten to use 30% of our remaining carbon budget to limit global temperature rise to 1.5C
🤯
They need a #BigOilRealityCheck. ",negative,1,1,2271,2572,205,Chevron,-0.782821255736053,negative
96,22/05/2024 02:53:38,"@PriceofOil revealed @BP_PLC, @Chevron, @ExxonMobil, @Shell, @Eni & @TotalEnergies are supplying crude oil to Israel despite the ongoing massacre of Palestinians in Gaza. Their apparent disregard for human rights is one more reason they can’t be trusted. ",negative,3,4,4532,5736,458,Chevron,-0.8921894086524844,negative
97,22/05/2024 01:23:40,‘Reality Check’: Damning report finds big oil firms’ climate plans could increase global warming by 2.4°C - WION  via @GoogleNews,neutral,0,0,1110,1110,88,Chevron,-0.44677044078707695,neutral
98,22/05/2024 00:34:32,"@PierrePoilievre The “super-majors” — BP, Shell, Chevron, ExxonMobil and TotalEnergies — have made $281 billion (£223 billion) since the war began in February 2022, according to Global Witness.",neutral,2,0,2623,2623,209,Chevron,-0.0756576731801033,neutral
99,21/05/2024 23:23:07,Press Release: Big Oil Reality Check: Oil and Gas Companies Failing on Climate  via @priceofoil,neutral,0,0,47,47,3,Chevron,-0.5994606949388981,negative
100,21/05/2024 22:54:12,"NEW from @PriceofOil: All 8 #BigOilRealityCheck corps – @bp_plc @Chevron @conocophillips @eni @Equinor @exxonmobil @Shell @TotalEnergies – FAIL basic criteria on climate, human rights + just transition.
Big Oil is driving disaster. #EndFossilFuels
READ:  ",negative,38,23,11252,18175,1454,Chevron,-0.8544896692037582,negative
101,21/05/2024 21:55:07,".@Davidxvx: ""There is no evidence that big oil and gas companies are acting seriously to be part of the energy transition.""  #UnitedStates #ClimateEmergency",neutral,2,2,2874,3476,278,Chevron,-0.6886992733925581,negative
102,21/05/2024 16:58:42,"@ira_joseph @WoodMackenzie @SPGCIGas Mr. Joseph, we have commented that several times. So many (very big) players thinking the reverse:
",neutral,2,0,935,935,74,Chevron,0.04175274074077606,neutral
103,21/05/2024 16:57:53,"@DaveErnsberger @SPGCI LNG oversupply in the next few years? These players thinks the contrary:
",neutral,1,0,935,935,74,Chevron,-0.28781411051750183,neutral
104,21/05/2024 15:29:08,"Oil Change International examined #climate plans from the eight largest international #oil & #gas producers – BP, Chevron, ConocoPhillips, Eni, Equinor, ExxonMobil, Shell & TotalEnergies – and found none was compatible with limiting #globalwarming to 1.5C ",neutral,0,0,548,548,43,Chevron,-0.1819220818579197,neutral
105,21/05/2024 12:38:31,"@PriceofOil Recent @PriceofOil data also revealed @BP_PLC, @Chevron, @ExxonMobil, @Shell, @Eni & @TotalEnergies are supplying crude oil to Israel despite the ongoing massacre of Palestinians in Gaza. 
Yet another reason they can’t be trusted. 
",neutral,0,0,2446,2446,195,Chevron,-0.8439533873461187,negative
106,21/05/2024 12:30:00,"The latest Carbon Economist podcast examines #CCUS in the #US and the role of big firms such as @TotalEnergies, @exxonmobil and @Chevron in driving developments with strategic acquisitions and projects
 ",neutral,0,0,178,178,14,Chevron,0.1197528401389718,neutral
107,21/05/2024 10:35:48,"Interesting comments . Would love to hear what the cool guy at Chevron and Exxon will say . Sir Okunbor won’t come out to say this tho . 
Is he wrong ? No . Total has dropped $600m in Namibia in less than 2 years but haven’t done more exploring around the Egina lease",positive,0,1,1344,1645,131,Chevron,0.27776429802179337,neutral
108,21/05/2024 10:27:25,"@BP_plc @Chevron @ConocoPhillips @Eni @Equinor @ExxonMobil @Shell and @TotalEnergies are sacrificing your children's lives for a profit from climate change. They are the enemy. Worse than Putin, Xi, Khamenei, Netanyahu, Trump and Kim combined. ",negative,0,0,17861,17861,1428,Chevron,-0.9051803480833769,negative
109,21/05/2024 10:14:23,@climate_parents @PriceofOil @Chevron @conocophillips @Shell @Equinor @eni @TotalEnergies Biggest mistake Qld ever made letting companies like this take unlimited water & drill through the #GreatArtesianBasin. Who monitors it all literally forever? Time to put #KidsFirst & #EndFossilFuels. #NoNewGas #FossilFuelPhaseOut #FossilFuelTreaty,negative,0,0,699,699,55,Chevron,-0.8017195807769895,negative
111,21/05/2024 05:35:24,"These huge, ancient, beautiful corals do not deserve this. They are live animals. 
Just 57 companies linked to 80% of greenhouse gas emissions since 2016
Top 5: ExxonMobil, Shell, BP, Chevron + TotalEnergies

Exxon Knew decades ago
",negative,0,0,2881,2881,230,Chevron,-0.8629547599703074,negative
112,21/05/2024 01:07:10,Sources: Petrobras was surpassed by the American company Chevron (NYSE: CVX) and the French company Total Energies. Both made more than US$5 billion in profit in the 1st quarter.,positive,0,0,7,7,0,Chevron,0.6790900318883359,positive
113,20/05/2024 19:08:27,"and TotalEnergies, earned significantly less, with each reporting $21 billion in profits.
Petrobras, the leader in South America, also stands out. The state-owned Brazilian company earned $25 billion, surpassing giants like Chevron, Shell, bp, and TotalEnergies.
Kazakhstan's",positive,1,0,6341,6341,507,Chevron,0.5992417354136705,positive
114,20/05/2024 14:46:49,"@chemical_news @Worley_ECR @Chevron @Equinor @TotalEnergies Kudos to Worley for advancing the Bayou Bend CCS with Chevron, Equinor, and TotalEnergies. Strong move for sustainability! #Innovation #CCS",positive,0,0,19,19,1,Chevron,0.958647595718503,positive
115,20/05/2024 13:33:37,@chemical_news @Worley_ECR @Chevron @Equinor @TotalEnergies Exciting to see innovative solutions from Worley in Bayou Bend CCS. Key step for sustainable development! #Chevron #Equinor #TotalEnergies,positive,0,0,4,4,0,Chevron,0.9684682567603886,positive
116,20/05/2024 13:17:27,"Worley providing design and evaluation services for Bayou Bend CCS

#Worley #MarkTrueman #Chevron #Equinor #TotalEnergies
@Worley_ECR @Chevron @Equinor @TotalEnergies",positive,0,0,3070,3070,245,Chevron,0.0605767616070807,neutral
117,20/05/2024 11:12:41,I see this quite as a prophetic warning ... Quite timely to get #OffFossilFuels,positive,2,2,2348,2950,236,Chevron,0.7830240502953529,positive
118,20/05/2024 11:04:46,"Was it Tinubu that brought multi-national oil companies to lagos ? E.g shell, chevron, mobil, totalenergies etc. Let this companies move all their assets to region they explore oil and see what become of the lagos Tinubu built",neutral,0,0,783,783,62,Chevron,-0.09746166318655014,neutral
119,20/05/2024 08:19:47,TotalEnergies CEO says Namibia could be next Guyana… #ECO worth remembering that Total has recently farmed into 3B/4B to @EcoAtlantic_OG benefit. Multiple Katie’s in Guyanese data room and Chevron has just farmed into acreage in the Walvis Basin slap bang in the middle of Eco’s…,neutral,9,4,3704,4908,392,Chevron,0.1190994055941701,neutral
120,19/05/2024 21:39:17,"Namibia Oil Boom: The next Guyana?
In the last two years, major oil companies such as Total $TTE, Shell $SHEL, Galp $GALP and Chevron $CVX have discovered more than 10 billion barrels of oil (THAT'S A LOT OF OIL!) off the coast of Namibia!
And it can transform the country....",positive,2,0,54,54,4,Chevron,0.7940905978903174,positive
121,19/05/2024 01:03:54,"@Sturgeons_Law @StrosHorns1705 I'm not there but this is my point; this is simply unprecedented. Call it weak winds but something was different 
",neutral,0,0,505,505,40,Chevron,-0.319943830370903,neutral
122,19/05/2024 00:57:28,"This is all just so incredible and scary. I hope there are no more deaths from this storm.
It's time for us to prepare our cities and infrastructure for a more intense set of meteorological conditions.",positive,13,2,16154,16756,1340,Chevron,-0.7485525608062744,negative
123,18/05/2024 22:06:34,"🕹️ Houston Storm: Drone shots of the damaged skyscrapers downtown.
The worst damage is along Louisiana and Smith streets.
The damaged buildings are homes to companies such as PwC, Kinder Morgan, TotalEnergies and Chevron.
#LNG #ONGT #NatGas #Shale #OOTT #Houston #TXWX ",negative,85,28,19781,28209,2256,Chevron,-0.726740819402039,negative
